Key, SourceString
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00010,"ストーリーを進めるヒントがほしいときは<lf>ピンク色の吹き出し<emoji Fukidashi_Icon>が出ているキャラに<lf>話しかけましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00020,"やることを忘れてしまったときは<lf>「せんれき」の「これまでのおはなし」を<lf>確認してみよう！"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00030,"手に入れた武器や防具は<lf>持ってるだけでは　なんにもなりません。<lf>「そうび」コマンドで　身につけることをお忘れなく！"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00040,"冒険を中断したい時は　教会へ行きましょう。<lf>冒険の書に旅の記録を書き込んでくれます。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00050,"全滅して復活場所に戻ると<lf>持っているゴールドを　半分失ってしまいます……。<lf>いざという時にそなえて　ゴールド銀行に<lf>こまめに預けましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00060,"紫色の吹き出し<emoji Question_Icon>が出ているキャラは<lf>あなたに　何かを頼みたがっている人。<lf>話しかけて　頼みを聞いてみましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00070,"名前の色が　紫色のキャラ<emoji Question_Icon>は<lf>あなたに　何かを頼みたがっている人。<lf>話しかけて　頼みを聞いてみましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00080,"名前の色が　紫色のキャラ<emoji Question_Icon>は<lf>あなたに　何かを頼みたがっている人。<lf>話しかけて　頼みを聞いてみましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00090,"名前の色が　紫色のキャラ<emoji Question_Icon>は<lf>あなたに　何かを頼みたがっている人。<lf>話しかけて　頼みを聞いてみましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00100,"名前の色が　紫色のキャラ<emoji Question_Icon>は<lf>あなたに　何かを頼みたがっている人。<lf>話しかけて　頼みを聞いてみましょう。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00110,"新しい町に着いたら　ルーラストーンは<lf>自動で　その場所を記憶します。<lf>ダンジョンや　フィールドでは<lf>いざないの石碑で　記憶させる必要があります。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00120,"新しい町に着いたら　ルーラストーンは<lf>自動で　その場所を記憶します。<lf>ダンジョンや　フィールドでは<lf>いざないの石碑で　記憶させる必要があります。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00130,"新しい町に着いたら　ルーラストーンは<lf>自動で　その場所を記憶します。<lf>ダンジョンや　フィールドでは<lf>いざないの石碑で　記憶させる必要があります。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00140,"新しい町に着いたら　ルーラストーンは<lf>自動で　その場所を記憶します。<lf>ダンジョンや　フィールドでは<lf>いざないの石碑で　記憶させる必要があります。"
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00150,"新しい町に着いたら　ルーラストーンは<lf>自動で　その場所を記憶します。<lf>ダンジョンや　フィールドでは<lf>いざないの石碑で　記憶させる必要があります。"
