Key,SourceString
SYSTXT_CASINO_COMMON_00010,"コインがありませんので<lf>お買い求めのうえ　またおこしください！"
SYSTXT_CASINO_COMMON_00020,"コインが足りませんので<lf>お買い求めのうえ　またおこしください！"
SYSTXT_CASINO_COMMON_00030,"１コイン　ポーカーがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00040,"１０コイン　ポーカーがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00050,"１００コイン　ポーカーがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00060,"１コイン　スロットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00070,"１０コイン　スロットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00080,"１００コイン　スロットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00090,"１コイン　ルーレットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00100,"１０コイン　ルーレットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00110,"１００コイン　ルーレットがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00120,"２５０コイン　ビンゴがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00130,"５００コイン　ビンゴがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_COMMON_00140,"１０００コイン　ビンゴがあります。<lf>遊びますか？<yesno><close>"
SYSTXT_CASINO_POKER_00010,"ツーペア"
SYSTXT_CASINO_POKER_00020,"スリーカード"
SYSTXT_CASINO_POKER_00030,"ストレート"
SYSTXT_CASINO_POKER_00040,"フラッシュ"
SYSTXT_CASINO_POKER_00050,"フルハウス"
SYSTXT_CASINO_POKER_00060,"フォーカード"
SYSTXT_CASINO_POKER_00070,"ストレートフラッシュ"
SYSTXT_CASINO_POKER_00080,"ファイブカード"
SYSTXT_CASINO_POKER_00090,"ロイヤルストレートフラッシュ"
SYSTXT_CASINO_POKER_00100,"ロイヤルストレートスライム"
SYSTXT_CASINO_POKER_00110,"ポーカーで遊びますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00120,"ポーカーを終了しますか？<yesno 2><close>"
SYSTXT_CASINO_POKER_00130,"ポーカーを終了します。"
SYSTXT_CASINO_POKER_00140,"<speed=0><emoji DPad_UpDown>で　かけきんを決めて<lf><emoji FaceButton_Right>でスタートします。"
SYSTXT_CASINO_POKER_00150,"持てるコインの　限界を超えています。<lf>これ以上　持てませんが　続けますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00160,"コインがありませんので<lf>お買い求めのうえ　またおこしください！"
SYSTXT_CASINO_POKER_00170,"コインが足りませんので<lf>お買い求めのうえ　またおこしください！"
SYSTXT_CASINO_POKER_00180,"宝箱が　まだ　開いていません。"
SYSTXT_CASINO_POKER_00190,"カジノレイドが　続いています。"
SYSTXT_CASINO_POKER_00200,"テンションアップ効果が　発生しています。"
SYSTXT_CASINO_POKER_00210,"ほんとうに　終了してよろしいですか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00220,"おめでとうございます！<lf>{Pokerhands}です！<br><lf>{Casinocoin}枚のコインが　当たりました。"
SYSTXT_CASINO_POKER_00230,"残念でした！<lf>もういちど　ポーカーを遊びますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00240,"<speed=0>もういちど　ポーカーを遊びますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00250,"成功すると　{Du_coin}枚になります。<lf>{Du_time}回目の　ダブルアップに挑戦しますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00260,"引き分けです。　もういちど…！"
SYSTXT_CASINO_POKER_00270,"残念でした！<lf>ポーカーを　続けますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00280,"ダブルアップ{Du_time}回目なので<lf>これでダブルアップは終了です。"
SYSTXT_CASINO_POKER_00290,"持てるコインの　限界を超えました。<lf>これ以上　持てませんが　続けますか？<yesno_nc><close>"
SYSTXT_CASINO_POKER_00300,"<speed=0>オープンしている　カードより<lf>強いカードを　右の４枚から　選んでください。"
SYSTXT_CASINO_POKER_00310,"<speed=0>オープンしている　カードより<lf>強いカードを　右の３枚から　選んでください。"
SYSTXT_CASINO_POKER_00320,"ダブルアップ成功です！<lf>{Casinocoin}枚の<lf>コインが当たりました。"
SYSTXT_CASINO_POKER_00330,"{Casinocoin}枚の<lf>コインを　かくとくしました！"
SYSTXT_CASINO_POKER_00340,"{Tboxkey}つのカギがついた　宝箱を　発見しました！<br><lf>{Tboxkey}回　ダブルアップで　勝てば<lf>宝箱を　開くことができます！"
SYSTXT_CASINO_POKER_00350,"宝箱のカギを　すべて　はずしました！<lf>ダブルアップがおわった時に　宝箱を開きます！"
SYSTXT_CASINO_POKER_00360,"カギが　すべて　なくなったので<lf>宝箱を　開きます！"
SYSTXT_CASINO_POKER_00370,"{Casinocoin}枚のコインを　手に入れました。"
SYSTXT_CASINO_POKER_00380,"大当たりで<lf>{pc}のテンションがアップした！<lf>まわりの人の　テンションもアップした！<auto_br=2500><lf>なんと　当たった時に　もらえるコインが<lf>１．５倍にアップしたようだ…！"
SYSTXT_CASINO_POKER_00390,"このコーナーの{Npc_name}さん　大当たり！<lf>{pc}のテンションもアップした！<auto_br=2500><lf>なんと　当たった時に　もらえるコインが<lf>１．５倍にアップしたようだ…！"
SYSTXT_CASINO_POKER_00400,"テンションアップ効果が　終了しました。"
