Key,SourceString
SYSTXT_FACILITY_SUBJUGATION_NPC_01010,"「おお！　{pc}！<lf>　来てくれたか！<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01020,"「む。しかしどうやら　討伐依頼書を<lf>　持っていないようだ。<lf>　手に入れてから　また来てくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01030,"「む。しかしどうやら　討伐を依頼できる<lf>　フレンドが　いないようだ。<lf>　頼めるひとができたら　また来てくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01040,"「いまは　討伐依頼に　向かわせている<lf>　討伐隊は　いないみたいだな。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01050,"「討伐隊を編成して<lf>　討伐依頼に　向かわせるか？<lf><yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01060,"「やめておくか？<lf>　気が向いたら　また声をかけてくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01070,"「どの依頼にするか　決めてくれ。<lf><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01080,"「討伐隊に入ってもらう<lf>　フレンドを　選んでくれ。<lf><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01090,"「そのひとは　既に<lf>　討伐隊に　入っているな。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01100,"「このひとたちに<lf>　討伐を　頼むんだな？<lf><yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01110,"「討伐隊に空きがあるが<lf>　頼んでしまって　いいんだな？<lf><yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01120,"「よし　そうしたら　討伐が終わる<lf>　{Subjugation_Time_Remain_Hour}時間　{Subjugation_Time_Remain_Minute}分後ごろに　また来てくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01130,"「討伐隊が帰還してるぞ。<lf>　報酬を受け取ってくれ。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01140,"「む。{Subjugation_Reward_Name}は<lf>　もう持てないようだな。<lf>　整理してから　また来てくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01150,"「また　討伐隊を　編成して<lf>　討伐依頼に向かわせるか？<lf><yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01160,"「そうか　わかった。<lf>　気が向いたら　また声をかけてくれ。<lf>　次も　よろしく頼むぜ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01170,"「いま　討伐隊は<lf>　討伐に　向かっているようだな。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01180,"「あと　{Subjugation_Time_Remain_Hour}時間　{Subjugation_Time_Remain_Minute}分で<lf>　帰ってくるはずだ。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01190,"「討伐を中断し　討伐隊に<lf>　戻ってきてもらうか？<lf>　この場合　アイテムは　手に入らないぞ。<lf><yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01200,"「わかった。呼び戻しておくよ。<lf>　新しく討伐隊を　編成して<lf>　討伐依頼に　向かわせるか？<lf><yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01210,"「そうか　わかった。<lf>　そうしたら　討伐隊が帰ってくる<lf>　{Subjugation_Time_Remain_Hour}時間　{Subjugation_Time_Remain_Minute}分後ごろに　また来てくれ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01220,"「討伐依頼書を　手に入れたら<lf>　また声をかけてくれ　次も　よろしく頼むぜ。<lf><end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01230,"「む。どうやら　{Subjugation_Reward_Name}は<lf>　もう持てないようだな。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01240,"「報酬を　受け取らずに<lf>　この依頼を　終わらせるか？<lf><yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01250,"「報酬を　受け取らないんだな。<lf>　それじゃ　この依頼は　終わりにしておくぞ。<lf><br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01260,"「それじゃ　もちものを整理してから<lf>　また来てくれ。それまで<lf>　報酬の品は　預かっておくからな。<lf><end>"
