Key, SourceString
SYSTXT_FACILITY_CONCIERGE_NPC_00010,"「おかえりなさいませ！<lf>　世界宿屋協会提供　旅のコンシェルジュの<lf>　サービスカウンターは　こちらです。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00020,"「さて　本日は　どのサービスをご利用ですか？<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00030,"「他にご用は　ございますか？<lf><yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00040,"「ご利用　ありがとうございました。<lf>　充実した冒険ライフを　お過ごしください。<lf><end>"
SYSTXT_FACILITY_CONCIERGE_NPC_00050,"「おや……。<lf>　まだ登録されていない　お客さまですね。<lf>　当サービスについて　ご説明いたしましょうか？<lf><yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00060,"「こちらは　旅のコンシェルジュです。<lf>　冒険者の皆さまに様々なサービスを提供するため<lf>　世界宿屋協会より　派遣されております。<lf><br><lf>「私どもが　提供しているサービスについて<lf>　ご紹介させていただきます。<lf><br><lf>「報酬お預かりサービスでは<lf>　クエストクリア時に受け取れなかった<lf>　報酬アイテムを　一時的にお預かりいたします。<lf><br><lf>「おすすめのクエストや<lf>　旅先案内も　ございます。"
SYSTXT_FACILITY_CONCIERGE_NPC_00070,"「では　すぐに　コンシェルジュの<lf>　サービス利用登録を　いたしますか？<lf><yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00080,"「かしこまりました。<lf>　少々お待ちください……。<lf><wait=1000><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00090,"「お待たせいたしました！<lf>　{pc}さまを　サービス会員に<lf>　登録いたしました！<lf><br><lf>「サービスご利用の際は　各地の宿屋で<lf>　この服を着て　立っている<lf>　旅のコンシェルジュに　お声がけください。<lf><br><lf>「ご登録　ありがとうございました。<lf>　あなたの　充実した冒険ライフの<lf>　お手伝いと　なれますように。"
SYSTXT_FACILITY_CONCIERGE_NPC_00100,"「そうですか……。<lf>　登録は　いつでもできますので<lf>　気が変わったら　また　お越しください。"
SYSTXT_FACILITY_CONCIERGE_NPC_01010,"「今　{pc}さまに<lf>　ご案内できるクエストは　こちらになります。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_01020,"「いかがでしょう。もし　お気に召さなければ<lf>　別のクエストを　ご案内いたしますので<lf>　もう一度　クエスト案内を　お選びください。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_01030,"「申し訳ありませんが　今　{pc}さまに<lf>　ご案内できるクエストは　ございません。<lf>　またの機会に　おたずねくださいませ。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_09010,"「何について　説明いたしましょうか？<lf><select_se_off><lf>ふくびきについて<lf>案内をみるについて<lf>報酬受け取りについて<lf><select_end><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_09020,"「もしも　旅の途中で　ふくびき券を<lf>　手に入れましたら　こちらまでお持ちください。<lf>　１枚につき１回　ふくびきをしていただけます。<lf><br><lf>「もちろん　当たるか当たらないかは　運しだい。<lf>　新米の冒険者も　ベテランの冒険者も公平です。<lf>　ぜひ　見事に　福を引き当ててくださいね。<lf><end>"
SYSTXT_FACILITY_CONCIERGE_NPC_09030,"「クエスト案内では　お客さまが<lf>　受けられるクエストを　ご案内いたします。<lf><br><lf>「なにをやろうか　迷った時にでも<lf>　ぜひご利用くださいませ。<lf><end>"
SYSTXT_FACILITY_CONCIERGE_NPC_09040,"「報酬受け取りでは　受け取れなかった<lf>　クエスト報酬や　ストーリー報酬を<lf>　受け取ることができます。<lf><br><lf>「この　報酬受け取りサービスを<lf>　活用いただき　{pc}さまの冒険に<lf>　お役立てください。<lf><end>"
SYSTXT_FACILITY_CONCIERGE_NPC_10010,"「経験値と　報酬の<lf>　どちらを受け取られますか？"
SYSTXT_FACILITY_CONCIERGE_NPC_10020,"「どちらを受け取られますか？<lf><select_se_off><lf>つかうもの<lf>そうびぶくろ<lf><select_end><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_11010,"「今　{pc}さまに<lf>　お渡しできる　報酬は　ございません。<lf><br><lf>「受け取れなかった　クエスト報酬や　<lf>　ストーリー報酬は　コンシェルジュで<lf>　お預かりしておきます。"
SYSTXT_FACILITY_CONCIERGE_NPC_11020,"「どのアイテムを受け取られますか？"
SYSTXT_FACILITY_CONCIERGE_NPC_11030,"「申し訳ありませんが　{BagName}が<lf>　いっぱいで　持ちきれないようです。<lf>　整理してから　また　ご依頼ください。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_11040,"「申し訳ありませんが　{ItemName}は<lf>　もう　持ちきれないようです。<lf>　整理してから　また　ご依頼ください。<lf><bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_11050,"「お預かりしている報酬は　以上です。<lf>　ご利用ありがとうございました。"
SYSTXT_FACILITY_CONCIERGE_NPC_12010,"「お預かりしている経験値のお受け取りですね。<lf>　かしこまりました。"
SYSTXT_FACILITY_CONCIERGE_NPC_12020,"「……現在　{pc}さまからは<lf>　経験値を　お預かりしていないようです。<lf><br><lf>「経験値お預かり設定の　<lf>　『預ける』設定をすることで　こちらで<lf>　ストーリー経験値を　お預かりいたします。"
SYSTXT_FACILITY_CONCIERGE_NPC_12030,"「……現在　{pc}さまのレベルは<lf>　それ以上　上がらないようですね。<lf><br><lf>「別の職業に　転職されてから<lf>　お受け取りするのを　おすすめいたします。"
SYSTXT_FACILITY_CONCIERGE_NPC_12040,"「……現在　{pc}さまからは<lf>　これだけの経験値を　お預かりしています。<lf><br><lf>「現在の職業で　経験値を<lf>　お受け取りしてよろしいですか？<lf><yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_12050,"「おやめになるのですね。<lf>　かしこまりました。"
SYSTXT_FACILITY_CONCIERGE_NPC_12060,"「{pc}さまの　現在の職業のレベルが<lf>　上限になりましたので<lf>　あと　{EXP_Concierge}の経験値をお預かりしています。"
SYSTXT_FACILITY_CONCIERGE_NPC_13010,"「『経験値お預かり設定』ですね。こちらは<lf>　ストーリーや　クエストで得られる経験値を<lf>　一時的に　お預かりするサービスです。"
