Key,SourceString
SYSTXT_FACILITY_CONCIERGE_SYS_00010,"ふくびきをする"
SYSTXT_FACILITY_CONCIERGE_SYS_00020,"案内をみる"
SYSTXT_FACILITY_CONCIERGE_SYS_00030,"報酬受け取り"
SYSTXT_FACILITY_CONCIERGE_SYS_00040,"説明を聞く"
SYSTXT_FACILITY_CONCIERGE_SYS_00050,"今受けられる<cf>クエストを<cf>表示します"
SYSTXT_FACILITY_CONCIERGE_SYS_00060,"おすすめの<cf>旅の行き先を<cf>表示します"
SYSTXT_FACILITY_CONCIERGE_SYS_00070,"クエスト案内を見る"
SYSTXT_FACILITY_CONCIERGE_SYS_00080,"旅の案内を見る"
SYSTXT_FACILITY_CONCIERGE_SYS_01010,"お預かり報酬"
SYSTXT_FACILITY_CONCIERGE_SYS_01020,"お預かり経験値"
SYSTXT_FACILITY_CONCIERGE_SYS_01030,"経験値お預かり設定"
SYSTXT_FACILITY_CONCIERGE_SYS_01040,"経験値お預かり設定"
SYSTXT_FACILITY_CONCIERGE_SYS_01050,"預ける"
SYSTXT_FACILITY_CONCIERGE_SYS_01060,"預けない"
SYSTXT_FACILITY_CONCIERGE_SYS_01070,"お預かりしている経験値"
SYSTXT_FACILITY_CONCIERGE_SYS_09010,"ふくびきについて"
SYSTXT_FACILITY_CONCIERGE_SYS_09020,"案内をみるについて"
SYSTXT_FACILITY_CONCIERGE_SYS_09030,"報酬受け取りについて"
SYSTXT_FACILITY_CONCIERGE_SYS_09040,"利用登録をする"
SYSTXT_FACILITY_CONCIERGE_SYS_10010,"賞品"
SYSTXT_FACILITY_CONCIERGE_SYS_10020,"特等"
SYSTXT_FACILITY_CONCIERGE_SYS_10030,"１等"
SYSTXT_FACILITY_CONCIERGE_SYS_10040,"２等"
SYSTXT_FACILITY_CONCIERGE_SYS_10050,"３等"
SYSTXT_FACILITY_CONCIERGE_SYS_10060,"４等"
SYSTXT_FACILITY_CONCIERGE_SYS_10070,"５等"
SYSTXT_FACILITY_CONCIERGE_SYS_10080,"６等"
SYSTXT_FACILITY_CONCIERGE_SYS_10090,"７等"
SYSTXT_FACILITY_CONCIERGE_SYS_10100,"８等"
SYSTXT_FACILITY_CONCIERGE_SYS_10110,"ふくびき券"
SYSTXT_FACILITY_CONCIERGE_SYS_10120,"手に入れた賞品"
SYSTXT_FACILITY_CONCIERGE_SYS_09050,"お預かり品数"
