Key,SourceString
SYSTXT_FACILITY_BANK_NPC_01010,"「愛と信頼のゴールド銀行へ　ようこそ。<cf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01020,"「{pc}さまからは　現在<cf>　{Bank_Deposit_Total}ゴールド　お預かりしています。<cf>　ご用は　なんでしょう？<cf><select_se_off><cf>あずける<cf>ひきだす<cf>やめる<cf><select_end><break>"
SYSTXT_FACILITY_BANK_NPC_01030,"「{pc}さまからは　現在<cf>　{Bank_Deposit_Total}ゴールド　お預かりしています。<cf>　他に　ご用はありますか？<cf><select_se_off><cf>あずける<cf>ひきだす<cf>やめる<cf><select_end><break>"
SYSTXT_FACILITY_BANK_NPC_01040,"「現在は　{pc}さまからの<cf>　お預かり金は　ございません。<cf>　ご用は　なんでしょう？<cf><select_se_off><cf>あずける<cf>ひきだす<cf>やめる<cf><select_end><break>"
SYSTXT_FACILITY_BANK_NPC_01050,"「現在　{Bank_Deposit_Total}ゴールド<cf>　お預かりしています。<cf>　また　お越しくださいませ。<cf><end>"
SYSTXT_FACILITY_BANK_NPC_01060,"「現在　{pc}さまからの<cf>　お預かり金は　ございません。<cf>　また　お越しくださいませ。<cf><end>"
SYSTXT_FACILITY_BANK_NPC_01070,"「失礼ですが　{pc}さまは<lf>　預けられるだけの　ゴールドを<lf>　お持ちでないようです。<lf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01080,"「大変　申し訳ございませんが<cf>　これ以上　お預かりできません。<cf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01090,"「ご入金は　１０００ゴールド単位で<cf>　うけたまわります。<cf>　いくら　お預かりしましょうか？<cf><break>"
SYSTXT_FACILITY_BANK_NPC_01100,"「{Bank_Deposit}ゴールド<cf>　たしかに　お預かりしました。<cf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01110,"「えっ？　{pc}さまのゴールドは<lf>　お預かりしていませんが……。<lf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01120,"「失礼ですが　{pc}さまは<lf>　これ以上　ゴールドを<lf>　お持ちになれないようです。<lf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01130,"「現在　{Bank_Deposit_Total}ゴールド<cf>　お預かりしていますが<cf>　いくら　お引き出しいたしますか？<cf><break>"
SYSTXT_FACILITY_BANK_NPC_01140,"「{Bank_Withdraw}ゴールドですね。<cf>　はい　どうぞ。<cf><br_break>"
SYSTXT_FACILITY_BANK_NPC_01150,"「やめるのですね。<cf><br_break>"
