Key, SourceString
SYSTXT_KeyboardSetting_00000,"キーボード設定"
SYSTXT_KeyboardSetting_00010,"キーボード"
SYSTXT_KeyboardSetting_00020,"ゲームパッド"
SYSTXT_KeyboardSetting_00100,"決定、調べる"
SYSTXT_KeyboardSetting_00110,"キャンセル、戻る、ジャンプ"
SYSTXT_KeyboardSetting_00120,"ジャンプ"
SYSTXT_KeyboardSetting_00130,"地図"
SYSTXT_KeyboardSetting_00140,"メインメニュー"
SYSTXT_KeyboardSetting_00150,"ダッシュ、タブ切り替え　右"
SYSTXT_KeyboardSetting_00160,"オートラン、タブ切り替え　左"
SYSTXT_KeyboardSetting_00170,"ドルボード"
SYSTXT_KeyboardSetting_00180,"カメラ視点リセット"
SYSTXT_KeyboardSetting_00190,"べんりメニュー"
SYSTXT_KeyboardSetting_00200,"ログ"
SYSTXT_KeyboardSetting_00210,"カーソル移動　上"
SYSTXT_KeyboardSetting_00220,"カーソル移動　下"
SYSTXT_KeyboardSetting_00230,"カーソル移動　左"
SYSTXT_KeyboardSetting_00240,"カーソル移動　右"
SYSTXT_KeyboardSetting_00250,"移動　前"
SYSTXT_KeyboardSetting_00260,"移動　後ろ"
SYSTXT_KeyboardSetting_00270,"移動　左"
SYSTXT_KeyboardSetting_00280,"移動　右"
SYSTXT_KeyboardSetting_00290,"カメラ回転　左"
SYSTXT_KeyboardSetting_00300,"カメラ回転　右"
SYSTXT_KeyboardSetting_00400,"割り当てるキーを押してください"
SYSTXT_KeyboardSetting_00500,"初期設定にもどす"
SYSTXT_KeyboardSetting_00510,"キーボード配列設定"
SYSTXT_KeyboardSetting_00520,"けってい"
SYSTXT_KeyboardSetting_00600,"初期設定に　戻します。<lf>よろしいですか？<lf><yesno><break>"
SYSTXT_KeyboardSetting_00700,"使用するキーボード配列<lf>を設定できます"
SYSTXT_KeyboardSetting_00710,"現在の配列："
SYSTXT_KeyboardSetting_00720,"QWERTY（英語）"
SYSTXT_KeyboardSetting_00730,"AZERTY"
SYSTXT_KeyboardSetting_00740,"QWERTY（イタリア）"
SYSTXT_KeyboardSetting_00750,"QWERTZ"
SYSTXT_KeyboardSetting_00760,"QWERTY（スペイン）"
SYSTXT_KeyboardSetting_00770,"キーボード配列"
SYSTXT_KeyboardSetting_00800,"使用しているキーボード配列を<lf>選択してください。<lf><break>"
SYSTXT_KeyboardSetting_00810,"ＱＷＥＲＴＹ（英語）キーボード配列に<lf>変更してよろしいですか？<lf>※変更すると　キーアサインが初期化されます。<lf><yesno><break>"
SYSTXT_KeyboardSetting_00820,"ＡＺＥＲＴＹキーボード配列に<lf>変更してよろしいですか？<lf>※変更すると　キーアサインが初期化されます。<lf><yesno><break>"
SYSTXT_KeyboardSetting_00830,"ＱＷＥＲＴＹ（イタリア）キーボード配列に<lf>変更してよろしいですか？<lf>※変更すると　キーアサインが初期化されます。<lf><yesno><break>"
SYSTXT_KeyboardSetting_00840,"ＱＷＥＲＴＺキーボード配列に<lf>変更してよろしいですか？<lf>※変更すると　キーアサインが初期化されます。<lf><yesno><break>"
SYSTXT_KeyboardSetting_00850,"ＱＷＥＲＴＹ（スペイン）キーボード配列に<lf>変更してよろしいですか？<lf>※変更すると　キーアサインが初期化されます。<lf><yesno><break>"
SYSTXT_KeyboardSetting_00900,"キーボードで　操作する際の<lf>キーアサインや　配列設定を行います。<lf><break>"
SYSTXT_KeyboardSetting_01000,"キー設定を　反映してよろしいですか？<lf><yesno><break>"
SYSTXT_KeyboardSetting_00870,"重複しているキーが　あります。<lf>設定を変更し　「けってい」を選択してください。<lf><break>"
