Key, SourceString
SYSTXT_TINYMEDALS_INTRO00,"「よく参られたでありますな！<lf>　自分はこのラッカラン島のオーナー<lf>　ゴーレックと申す者であります。"
SYSTXT_TINYMEDALS_INTRO01,"「なるほど。今{pc}は<lf>　{count}枚のちいさなメダルを<lf>　持っているようでありますな。"
SYSTXT_TINYMEDALS_INTRO02,"「この中にほしい物があるなら<lf>　そのメダルと交換してさしあげます。<lf>　ただし青い文字の品物は一度きりですぞ。"
SYSTXT_TINYMEDALS_CONFIRM,"「{itemname}　と交換するには<lf>　ちいさなメダルが　{required}枚　必要ですが<lf>　よろしいですか？"
SYSTXT_TINYMEDALS_RESULT00,"「では　{itemname}は<lf>　これより　{pc}の物であります！"
SYSTXT_TINYMEDALS_RESULT01,"「{pc}は<lf>　{itemname}　を手に入れた！"
SYSTXT_TINYMEDALS_INSUFFICIENT,"「ちいさなメダルが不足しています。<lf>　では　もういちど　選んでくだされ。"
SYSTXT_TINYMEDALS_RETRY,"「では　もういちど　選んでくだされ。"
SYSTXT_TINYMEDALS_LIMIT,"「残念ながら　{itemname}は<lf>　それ以上　持てないようであります。<lf>　かばんを整理してから　出直してくだされ。"
SYSTXT_TINYMEDALS_RETURN,"「ほかにも　ちいさなメダルと<lf>　交換したい物は　ありますかな？"
SYSTXT_TINYMEDALS_END01,"「新しく　ちいさなメダルを　見つけたり<lf>　お宝と　交換したくなったりしたら<lf>　いつでも　私に言ってくだされ。"
SYSTXT_TINYMEDALS_END02,"「待っているでありますぞ　{pc}！"
SYSTXT_TINYMEDALS_RESTRICTED,"「おや？　今　{pc}は<lf>　防具を装備できない<lf>　しばりプレイ中でありますね。<lf><br><lf>　手に入れても　装備できないでありますが<lf>　それでも　交換していくでありますか？<lf><yesno><break>"
