Key,SourceString
SYSTEXT_GetItemText_BattleFin_AQ_014_3_10,"これで　ビャン・ダオに頼まれた品が\nすべてそろった！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_AQ_016_2_10,"これで　パニーノに頼まれた品が\nすべてそろった！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_AQ_018_1_10,"これで　セラフィが　薬を調合するために\n必要な材料が　そろった！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_JQ_005_4_15,"これで　盗られた物を\nすべて盗み返した！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_JQ_007_2_10,"依頼された　３色の月光の花を\nすべて集めた！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_JQ_011_4_10,"これで　シェリルを救うために\n必要な道具が　そろった！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_KQ_002_1_10,"これで　大きなどうぐかばんを　作るために　\n必要な材料が　そろった！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_KQ_008_2_10,"これで　依頼された　収納グッズを\nすべて集めた！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_KQ_008_4_50,"ササラナに　頼まれたものが\nそろったので　港町レンドアの\nグランドタイタス号の　倉庫へ向かおう！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_KQ_028_3_30,"グラハムに頼まれていたアイテムを\nすべて　手に入れることができた。\nグラハムに　報告しにいこう。<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_MQ_011_1_10,"これで　白梅の枝と\n薄紅の宝貝が　そろった！\n<auto_br=5000>\n湯の花をもらうため\nコニウェア平原の南西から続く　モンセロ温泉峡の\n管理人小屋へ　行ってみよう！<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_BattleFin_TQ_008_1_10,"これで　どうぐ使いに転職できる\nどうぐを作るために　必要な素材が　そろった！<se_nots System item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_001_1_15,"<%sEV_QUE_NAME0>は\nおおみみずの化石を　落としていった。\n<auto_br=5000>\n{pc}は\nおおみみずの化石 (Key Item) を\n手に入れた！<se_nots System Item>\n<auto_bw=5000><close>"
