Key,SourceString
SYSTXT_DUNGEON_KINGDOM_SYS_00010,"Door of Light"
SYSTXT_DUNGEON_KINGDOM_SYS_00020,"迷宮へ行く"
SYSTXT_DUNGEON_KINGDOM_SYS_00030,"勇気の輝石交換"
SYSTXT_DUNGEON_KINGDOM_SYS_00040,"説明を見る"
SYSTXT_DUNGEON_KINGDOM_SYS_00050,"王家の迷宮 到達状況"
SYSTXT_DUNGEON_KINGDOM_SYS_00060,"Underground"
SYSTXT_DUNGEON_KINGDOM_SYS_00070,"F"
SYSTXT_DUNGEON_KINGDOM_SYS_00080,"まで開放"
SYSTXT_DUNGEON_KINGDOM_SYS_00090,"勇気の輝石"
SYSTXT_DUNGEON_KINGDOM_SYS_00100,"光の扉を通って<lf>迷宮に入ります"
SYSTXT_DUNGEON_KINGDOM_SYS_00110,"輝石をささげて<lf>ベルトや効果と<lf>交換します"
SYSTXT_DUNGEON_KINGDOM_SYS_00120,"迷宮の<lf>システムについて<lf>説明します"
SYSTXT_DUNGEON_KINGDOM_SYS_01010,"輝石のベルト交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01020,"効果を付与する"
SYSTXT_DUNGEON_KINGDOM_SYS_01030,"輝石のベルト選択"
SYSTXT_DUNGEON_KINGDOM_SYS_01040,"輝石効果"
SYSTXT_DUNGEON_KINGDOM_SYS_01050,"輝石効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01060,"必要数"
SYSTXT_DUNGEON_KINGDOM_SYS_01070,"銅の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01080,"銀の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01090,"金の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01100,"王家の迷宮の遊び方"
SYSTXT_DUNGEON_KINGDOM_SYS_01110,"行き先選択"
SYSTXT_DUNGEON_KINGDOM_SYS_10010,"薄明の空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10020,"薄明の砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10030,"薄明の聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10040,"陽光の空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10050,"陽光の砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10060,"陽光の聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10070,"落日の空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10080,"落日の砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10090,"落日の聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10100,"闇夜の空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10110,"闇夜の砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10120,"闇夜の聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10130,"深淵の間"
SYSTXT_DUNGEON_KINGDOM_SYS_11010,"勇気の輝き残り"
SYSTXT_DUNGEON_KINGDOM_SYS_20010,"王家の迷宮に　はいりますか？<cf><yesno><close>"
SYSTXT_DUNGEON_KINGDOM_SYS_20020,"勇気の輝石　{Kiseki_Need}個を使って<lf>輝石のベルトと交換しますか？<lf><yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20030,"勇気の輝石　{Kiseki_Need}個を使って<lf>輝石のベルトと交換した！"
SYSTXT_DUNGEON_KINGDOM_SYS_20040,"輝石のベルトを手に入れた！"
SYSTXT_DUNGEON_KINGDOM_SYS_20050,"{Kiseki_Belt_Selected_Name}には　<lf>最大まで輝石効果が　付与されています。<lf>選択した輝石効果を　入れ替えますか？<lf><yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20060,"どの輝石効果と　入れ替えますか？<lf><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20070,"{Kiseki_Effect_Old}を<lf>{Kiseki_Effect_Selected}に付け替えます。<lf>よろしいですか？<lf><yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20080,"{Kiseki_Effect_Old}を<lf>{Kiseki_Effect_Selected}に付け替えた！"
SYSTXT_DUNGEON_KINGDOM_SYS_20090,"勇気の輝石を　{Kiseki_Need}個使って<lf>{Kiseki_Effect_Selected}　の輝石効果を付与します。<lf>よろしいですか？<lf><yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20100,"{Kiseki_Belt_Selected_Name}に<lf>{Kiseki_Effect_Selected}を　つけた！"
SYSTXT_DUNGEON_KINGDOM_SYS_21010,"王家の迷宮は　アンルシアと<lf>仲間モンスターを　連れていくことができる<lf>ソロプレイダンジョンです。<lf><br><lf>迷宮の中では画面左上に表示されている<lf>勇気の輝きが　少しずつ減っていき<lf>０になれば　外に　追いだされてしまいます。<lf><br><lf>モンスターを倒して　光の霊玉を集めながら<lf>勇気の輝きが　無くなる前に<lf>次の部屋へ進みましょう。<lf><br><lf>集めた光の霊玉は　次の部屋で勇気の輝きに変わり<lf>代わりに　それまでに残っていた勇気の輝きは<lf>消えてなくなります。"
SYSTXT_DUNGEON_KINGDOM_SYS_21020,"王家の迷宮から持ち帰った　勇気の輝石を使って<lf>輝石のベルトと交換することができます。<lf><br><lf>輝石のベルトには　最大４種まで<lf>輝石効果を　付与することができます。"
SYSTXT_DUNGEON_KINGDOM_SYS_21030,"王家の迷宮から持ち帰った　勇気の輝石を使って<lf>持っている輝石のベルトに<lf>輝石効果を　付与することができます。<lf><br><lf>輝石効果は　選んでつけることができます。<lf>種類によって　必要な勇気の輝石の数が　変わります。<lf><br><lf>輝石のベルトには　最大４種まで<lf>輝石効果を　付与することができます。<lf><br><lf>輝石効果を　最大まで付与した輝石のベルトに<lf>効果を付与しようとした場合は<lf>効果を　付け替えることになります。"
SYSTXT_DUNGEON_KINGDOM_SYS_30010,"地下{Floor_Number}階　{Floor_Name}に　行きます。<cf>よろしいですか？<cf><yesno><close>"
SYSTXT_DUNGEON_KINGDOM_SYS_30020,"迷宮にいる　モンスターを倒して<cf>光の霊玉を集めましょう。<cf><br><cf>ただし　画面左上に表示される<cf>『勇気の輝き』には　要注意！<cf>次の扉へ進みましょう！"
SYSTXT_DUNGEON_KINGDOM_SYS_30030,"勇気の輝きが消えてしまった。"
SYSTXT_DUNGEON_KINGDOM_SYS_30040,"持っていた　勇気の輝きが消えた。<cf>光の霊玉{Reigyoku_Quantity}個が　勇気の輝き{Kagayaki_Quantity}に変わった！"
SYSTXT_DUNGEON_KINGDOM_SYS_30050,"次の部屋への扉が　開いた！"
SYSTXT_DUNGEON_KINGDOM_SYS_30060,"外界に通じる扉のようだ。<cf>勇気の輝きのチカラで　闇を祓って<cf>扉を　開放しますか？<cf><yesno><close>"
SYSTXT_DUNGEON_KINGDOM_SYS_30070,"勇気の輝き{Kagayaki_Quantity}が　勇気の輝石{Kiseki_Quantity}個に変わった！"
